Season,Rank,Team,Record,Margin 3 Less,Margin 10 or More
2016,9,Charlotte Hornets,48-34,6-5,25-17
2016,10,Miami Heat,48-34,7-5,24-20
2016,11,Indiana Pacers,45-37,9-9,21-13
2016,12,Detroit Pistons,44-38,6-5,21-20
2016,13,Portland Trail Blazers,44-38,2-7,23-21
2016,14,Dallas Mavericks,42-40,6-11,19-18
2016,15,Memphis Grizzlies,42-40,8-3,15-23
2016,16,Chicago Bulls,42-40,10-4,14-19
2016,17,Houston Rockets,41-41,5-8,14-18
2016,18,Washington Wizards,41-41,7-6,22-22
2016,19,Utah Jazz,40-42,6-8,23-13
2016,20,Orlando Magic,35-47,6-10,12-20
2016,21,Denver Nuggets,33-49,10-5,11-21
2016,22,Milwaukee Bucks,33-49,6-4,12-27
2016,23,Sacramento Kings,33-49,8-4,11-19
2016,24,New York Knicks,32-50,4-7,14-23
2016,25,New Orleans Pelicans,30-52,5-5,11-23
2016,26,Minnesota Timberwolves,29-53,7-7,9-23
2016,27,Phoenix Suns,23-59,4-5,10-32
2016,28,Brooklyn Nets,21-61,7-4,6-34
2016,29,Los Angeles Lakers,17-65,2-7,4-44
2016,30,Philadelphia 76ers,10-72,0-6,5-41
2017,1,Golden State Warriors,67-15,3-4,48-6
2017,2,San Antonio Spurs,61-21,8-5,30-8
2017,3,Houston Rockets,55-27,8-3,30-11
2017,4,Boston Celtics,53-29,7-6,17-11
2017,5,Cleveland Cavaliers,51-31,3-4,25-15
2017,6,Los Angeles Clippers,51-31,3-6,33-14
2017,7,Toronto Raptors,51-31,8-7,26-8
2017,8,Utah Jazz,51-31,4-4,23-10
2017,9,Washington Wizards,49-33,9-6,18-12
2017,10,Oklahoma City Thunder,47-35,12-7,23-21
2017,11,Atlanta Hawks,43-39,7-8,17-21
2017,12,Memphis Grizzlies,43-39,7-5,17-20
2017,13,Indiana Pacers,42-40,4-2,23-19
